Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Purple binder service type,canonical_Zip,canonical_Site name,canonical_Program Name,canonical_Agency,canonical_Source,canonical_Eearly Head Start Fund,canonical_Length of Day,canonical_NAEYC Program Id,canonical_Website,canonical_Program Option,canonical_Fax,canonical_Head Start Fund,canonical_Ounce of Prevention Description,canonical_NAEYC Valid Until,canonical_Director,canonical_Phone,canonical_Address,canonical_ECE Available Programs,canonical_CC fund,canonical_Email Address,canonical_Column,canonical_Center Director,canonical_Funded Enrollment,canonical_Column2,canonical_Number per Site EHS,canonical_Neighborhood,canonical_Progmod,canonical_IDHS Provider ID,canonical_Number per Site HS,canonical_Executive Director,canonical_Id
113,0.98727253079414368,165,CPS_Early_Childhood_Portal_scrape.csv, Family Rescue - Ridgeland Head Start,6824 S Ridgeland Ave ,,6671073,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60649,family rescue - ridgeland head start,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,6671073,6824 s ridgeland ave,,,,,,,child care,,,,,,,3147
114,0.95873565673828121,166,CPS_Early_Childhood_Portal_scrape.csv, Trinity United Church of Christ - Dr. Denton J. Brooks Center,6921 S Stony Island Ave ,,9552818,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60649,trinity united church of christ - dr. denton j. brooks center,child care,,cps_early_childhood_portal_scrape.csv,cherie brown,half day/full day,,yes,south shore,,,,,,9552818,6921 s stony island,cp,yes,,,,trinity united church of christ,,,south shore,no,,,"7079ps(hs collaboration with childcare & prek), 4118ps(child",1298
115,0.99197739362716675,167,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Lincoln - Roseland,7 E 119th St ,,2647632,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,abraham lincoln centre - lincoln - roseland,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2647632,7 e 119th st,,,,,,,,,,,,,,167
115,0.99197739362716675,168,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Lincoln - Roseland,7 E 119th St ,,2647632,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,abraham lincoln centre - lincoln - roseland,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,2647632,7 e 119th st,,,,,,,,,,,,,,167
116,0.98520152568817143,169,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA,7 N Homan Ave ,,2653900,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60624,ymca of metropolitan chicago - garfield head start/child developmental center- ymca,head start,,cps_early_childhood_portal_scrape.csv,paulette hernandez,extended day,,no,east garfield park,,,,paulette hernandez,,2653900,7 n homan,dorothy cole-gary,yes,,,www.ymcachicago.org,ymca of metropolitan chicago,,,,yes,,,"7081ps(hs collaboration with childcare & prek), 6039ip(ehs c",1299
117,0.95426065581185482,170,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Rogers Park,7059 N Greenview Ave ,,2745477,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,adanner@christopherhouse.org,60626,christopher house rogers park,child care,,cps_early_childhood_portal_scrape.csv,joni rudds,half day/full day,,yes,rogers park,,,437986,atena danner-mcphaden,,2745477,7059 n greenview,lori baas,yes,08/31/13,,www.christopherhouse.org,christopher house,child care,,,no,,,"7073ps(hs collaboration with childcare & prek), 4147ps(child",1300
846,,171,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - Little Hands,7146 S Ashland Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,0.96076459685961402,172,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Howard,7222 S Exchange Ave ,,2219711,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60649,ada s. mckinley community services - mckinley - howard,child care,,cps_early_childhood_portal_scrape.csv,stella sweeten,half day/full day,,no,south shore,,,,joni rudds,,2219711,7222 s exchange,"george jones, jr.",yes,,,www.adasmckinley.org,ada s. mckinley community services,child care,,,no,,,"4357it(child care it center), 7035ps(hs collaboration with c",1393
118,0.78448024392127991,173,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - Orr High School non-cys funded,730 N Pulaski Rd ,,8261090,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60624,hull house association - orr infant and family development center,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,no,humboldt park,,,,,,8261090,730 n pulaski rd,,no,,,,hull house association,child care,,,yes,,,,173
119,0.93892101446787513,174,CPS_Early_Childhood_Portal_scrape.csv, South Shore United Methodist - South Shore United,7350 S Jeffery Blvd ,,3244430,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,ssumccc1@ameritech.net,60649,south shore united methodist south shore united child care center,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,564213,marcell hooks,,3244430,7350 s jeffery blvd,marcell hooks,,03/31/13,,,south shore united methodist,,,,,,,,2272
120,0.99197739362716675,175,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Nia Family Center,744 N Monticello Ave ,,8266971,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago commons association - nia family center,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,8266971,744 n monticello ave,,,,,,,,,,,,,,1223
121,0.93693476915359497,176,CPS_Early_Childhood_Portal_scrape.csv, Howard Area Community Center - Howard Area Community Center,7510 N Ashland Ave ,,7647610,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,skoliarakis@howardarea.org,60626,howard area community center - howard area community center,child care,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,372557,,,7647610,7510 n ashland ave,,,09/30/14,,http://www.howardarea.org,,child care,,,,,,,847
122,0.99197739362716675,177,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Rebecca K. Crown / CYC,7601 S Phillips Ave ,,6481550,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,chicago youth centers - rebecca k. crown / cyc,child care,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,6481550,7601 s phillips ave,,,,,,,,,,,,,,1224
123,0.991977,178,CPS_Early_Childhood_Portal_scrape.csv, Howard Area Community Center - Howard Area,7638 N Paulina Ave ,,3813652,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,howard area community center - howard area,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,3813652,7638 n paulina ave,,,,,,,,,,,,,,178
847,,179,CPS_Early_Childhood_Portal_scrape.csv, ChildServ - Englewood,7928 S Ashland Ave ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,0.9418303285326276,180,CPS_Early_Childhood_Portal_scrape.csv, Ada S. McKinley Community Services - McKinley - Wright Renaissance,7939 S Western Ave ,,4768805,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60620,ada s. mckinley community services - mckinley - wright renaissance,child care,,cps_early_childhood_portal_scrape.csv,corlis wright,half day/full day,,no,ashburn,,,,corllis wright,,4768805,7939 s western,"george jones, jr.",yes,,,www.adasmckinley.org,ada s. mckinley community services,child care,,,no,,,"2708it(child care it center), 2708ps(child care ps center &",1305
124,0.97385430335998535,181,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Tiny Tots Villa,8128 S Dr. Martin Luther King Dr ,,4836251,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60641,chicago state university - tiny tots villa,child care,,cps_early_childhood_portal_scrape.csv,judith tyson,extended day,,yes,chatham,,,,judith tyson,,4836251,8128 s dr. martin luther king dr,grace ratliff,yes,,,www.gamechicago.org,chicago state university,,,,no,,,"4292ps(child care ps center), 4205ps(hs collaboration with c",181
125,0.98686923583348596,182,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - New Pisgah,8130 S Racine Ave ,,8735392,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60620,henry booth house - new pisgah,child care,,cps_early_childhood_portal_scrape.csv,mr. s. smith,extended day,,no,auburn gresham,,,,mr. s. smith,,8735392,8130 s racine ave,scott perkins,yes,,,www.henryboothhouse.org,henry booth house,,,,no,,,,182
848,,183,CPS_Early_Childhood_Portal_scrape.csv, Human Resources Development Institute - Human Resources Development Institute,8151 S Western Ave ,,8631145,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.92736675909587318,184,CPS_Early_Childhood_Portal_scrape.csv, South Central Community Services - South Central Community Services,8316 S Ellis Ave ,,4830900,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,blasingame@sccsinc.org,60619,south central community services - south central community services,child care,,cps_early_childhood_portal_scrape.csv,marsha hightower,half day/full day,,no,chatham,,,508122,marsha hightower,,4830900,8316 s. ellis ave.,felicia blasingame,yes,05/31/14,,www.sccsinc.org,south central community services,,,chatham,no,,,,860
127,0.99086475372314453,185,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - South Harper Montessori,8358 S Stony Island Ave ,,7340375,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60617,marcy newberry association - south harper montessori,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,georgianna coachman,half day/full day,,no,avalon park,,,,,,7340375,8358 s stony island ave,,no,,,,marcy newberry association,,,,no,,,,1822
128,0.95440204938252771,186,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Lakeshore,850 W Eastwood Ave ,,2719403,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60640,christopher house - christopher house - lakeshore,child care,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,2719403,850 w eastwood avenue,cp,,,,,,child care,,uptown,,,,,2418
129,0.58703200022379565,187,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - North Kenwood Day Care Center,857 E Pershing Rd ,,2682223,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60653,henry booth house - north kenwood day care center,community partnerships,,cps_early_childhood_portal_scrape.csv,,"8-11 hours, varies by facility",,,,,,,,,2682223,857 e pershing rd,cp,,,,,,,,oakland,,,,,2691
130,0.86899572610855103,188,CPS_Early_Childhood_Portal_scrape.csv, Dorothy Sutton Branch - Dorothy Sutton Branch,8601 S State St ,,7234445,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,dorthysbr@aol.com,60619,dorothy sutton branch - dorothy sutton branch,community partnerships,,cps_early_childhood_portal_scrape.csv,ms. ola kirksey,"8-11 hours, varies by facility",,no,chatham,,,557917,ms. ola kirksey,,7234445,8601 s state st,ola kirksey,yes,04/30/14,,,dorothy sutton branch,,,,no,,,7123ps(hs collaboration with childcare),1629
131,0.70867082476615906,189,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - St. Bronislava,8716 S Colfax Ave ,,9337676,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60617,catholic charities of the archdiocese of chicago - st. bronislava,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,9337676,8716 s colfax ave,,,,,,,child care,,,,,,,3075
132,0.99197739362716675,190,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities of the Archdiocese of Chicago - Our Lady of Guadalupe,9129 S Burley Ave ,,9785320,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,catholic charities of the archdiocese of chicago - our lady of guadalupe,state pre-kindergarten,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,9785320,9129 s burley ave,,,,,,,,,,,,,,1309
133,0.7433765769004822,191,CPS_Early_Childhood_Portal_scrape.csv, Haymarket Center - Haymarket Center,932 W Washington Blvd ,,2267984,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60607,haymarket center,child care,,dfss_agencysitelies_2012.csv,bakahia madison,extended day,,no,near west side,,,,bakahia madison,,2267984,34 n sangamon,bakahia madison,no,,,www.hcenter.org,haymarket center,early head start,,,yes,,,"4343it(child care it center), 4343ps(child care ps center),",1723
244,0.98196978867053986,192,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Altgeld Gardens I,941 E 132nd Pl ,,4683055,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60627,centers for new horizons - altgeld gardens i,child care,,cps_early_childhood_portal_scrape.csv,gloria lawson,half day/full day,,yes,riverdale,,,,gloria lawson,,4683055,941 e 132nd st,cp,yes,,,www.cnh.org,centers for new horizons,child care,,riverdale,no,,,"4320it(child care it center), 7044ps(hs collaboration with c",1310
244,0.98196978867053986,193,CPS_Early_Childhood_Portal_scrape.csv, Centers For New Horizons - Altgeld Gardens I,941 E 132nd Pl ,,4683055,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60627,centers for new horizons - altgeld gardens i,child care,,cps_early_childhood_portal_scrape.csv,gloria lawson,half day/full day,,yes,riverdale,,,,gloria lawson,,4683055,941 e 132nd st,cp,yes,,,www.cnh.org,centers for new horizons,child care,,riverdale,no,,,"4320it(child care it center), 7044ps(hs collaboration with c",1310
849,,194,CPS_Early_Childhood_Portal_scrape.csv, The Woodlawn Organization - T.W.O. Early Child Development,950 E 61ST St ,,2885840,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,195,CPS_Early_Childhood_Portal_scrape.csv, Human Resources Development Institute - Donna Randle,9634 S CHAPPEL AVE ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0.98800964014870785,196,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Dorothy Gautreaux / CYC,975 E 132nd St ,,2911000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60627,chicago youth centers - dorothy gautreaux / cyc,child care,,cps_early_childhood_portal_scrape.csv,glenda williams,extended day,,no,riverdale,,,,glenda williams,,2911000,975 e 132nd st,harry wells,yes,,,www.chicagoyouthcenters.org,chicago youth centers,child care,,,no,,,,196
134,0.98800964014870785,197,CPS_Early_Childhood_Portal_scrape.csv, Chicago Youth Centers - Dorothy Gautreaux / CYC,975 E 132nd St ,,2911000,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,,,60627,chicago youth centers - dorothy gautreaux / cyc,child care,,cps_early_childhood_portal_scrape.csv,glenda williams,extended day,,no,riverdale,,,,glenda williams,,2911000,975 e 132nd st,harry wells,yes,,,www.chicagoyouthcenters.org,chicago youth centers,child care,,,no,,,,196
851,,198,CPS_Early_Childhood_Portal_scrape.csv, Joyner CPC,1315 S. Blue Island ,,5347903,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,0.98744812607765198,199,CPS_Early_Childhood_Portal_scrape.csv, Von Humboldt CPC,1345 N. Rockwell ,,5344668,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60622,von humboldt cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5344668,1345 n. rockwell,cpc-fd,,,,,,child parent center,,west town,,,,,199
136,0.98742823089872089,200,CPS_Early_Childhood_Portal_scrape.csv, Herzl CPC,1401 S. Hamlin ,,5341751,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60623,herzl cpc,head start/child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5341751,1401 s. hamlin,cpc-fd,,,,,,child parent center,,north lawndale,,,,,200
136,0.98742823089872089,201,CPS_Early_Childhood_Portal_scrape.csv, Herzl CPC,1401 S. Hamlin ,,5341751,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60623,herzl cpc,head start/child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5341751,1401 s. hamlin,cpc-fd,,,,,,child parent center,,north lawndale,,,,,200
137,0.98939392964045203,202,CPS_Early_Childhood_Portal_scrape.csv, Ferguson CPC,1420 N. Hudson ,,5348580,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60610,ferguson cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5348580,1420 n. hudson,cpc-fd,,,,,,child parent center,,near north side,,,,,2505
138,0.991977,203,CPS_Early_Childhood_Portal_scrape.csv, Parker CPC,328 W. 69Th ,,5353853,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60621,parker cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5353853,328 w. 69th,cpc-fd,,,,,,,,englewood,,,,,203
139,0.99075880646705627,204,CPS_Early_Childhood_Portal_scrape.csv, Delano CPC,3905 W. Wilcox ,,5346450,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60624,delano cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5346450,3905 w. wilcox,cpc-fd,,,,,,,,west garfield park,,,,,2455
140,0.98964196443557739,205,CPS_Early_Childhood_Portal_scrape.csv, Hansberry CPC,4055 W. Arthington ,,5346931,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60624,hansberry cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5346931,4055 w. arthington,cpc-fd,,,,,,child parent center,,north lawndale,,,,,205
140,0.98964196443557739,206,CPS_Early_Childhood_Portal_scrape.csv, Hansberry CPC,4055 W. Arthington ,,5346931,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60624,hansberry cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5346931,4055 w. arthington,cpc-fd,,,,,,child parent center,,north lawndale,,,,,205
852,,207,CPS_Early_Childhood_Portal_scrape.csv, Cole CPC,412 S. Keeler ,,5346857,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,208,CPS_Early_Childhood_Portal_scrape.csv, Woodson South CPC,4511 S. Evans Ave ,,5351822,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0.9882522622744242,209,CPS_Early_Childhood_Portal_scrape.csv, Overton CPC,4935 S. Indiana ,,5351811,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60615,overton cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5351811,4935 s. indiana,cpc-fd,,,,,,child parent center,,grand boulevard,,,,,2707
854,,210,CPS_Early_Childhood_Portal_scrape.csv, Beasley CPC,5165 S. State St ,,5351772,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,0.99197739362716675,211,CPS_Early_Childhood_Portal_scrape.csv, Dewey CPC,638 W. 54Th Pl. ,,5351671,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60609,dewey cpc,child parent center,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5351671,638 w. 54th pl.,cpc-hd,,,,,,,,new city,,,,,211
143,0.99031003883906776,212,CPS_Early_Childhood_Portal_scrape.csv, Wheatley CPC,902 E. 133rd Pl ,,5355718,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60627,wheatley cpc,head start,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5355718,902 e. 133rd pl,cpc-fd,,,,,,child parent center,,riverdale,,,,,213
143,0.99031003883906776,213,CPS_Early_Childhood_Portal_scrape.csv, Wheatley CPC,902 E. 133rd Pl ,,5355718,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,,60627,wheatley cpc,head start,,cps_early_childhood_portal_scrape.csv,,3-4 hours,,,,,,,,,5355718,902 e. 133rd pl,cpc-fd,,,,,,child parent center,,riverdale,,,,,213
624,0.36084383726119995,214,CPS_Early_Childhood_Portal_scrape.csv, V & J Day Care Center,1 E. 113th St. ,,7853940,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,60628,chicago commons association v & j day care center,community partnerships,,dfss_agencysitelies_2012.csv,reaver barlow-bell,"8-11 hours, varies by facility",,no,roseland,,,,reaver barlow-bell,,7853940,1 e 113th st,dan valliere,yes,,,www.chicagocommons.org,chicago commons association,,,,no,,,,1467
0,0.96038259400261772,215,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army Temple,1 N. Ogden ,,2262649,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,60607,salvation army - temple / salvation army,child care,,cps_early_childhood_portal_scrape.csv,barbara martin,half day/full day,,no,near west side,,,,,,2262649,1 n ogden,cp,no,,,,salvation army,child care,,near west side,no,,,,1
1,0.91841584444046021,216,CPS_Early_Childhood_Portal_scrape.csv, National Louis University-Dr. Effie O. Ellis Head Start,10 S. Kedzie ,,5339011,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,national louis university - dr. effie o. ellis training center,child care,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,5339011,10 s kedzie ave,,,,,,,,,,,,,,2
144,0.988601,217,CPS_Early_Childhood_Portal_scrape.csv, City Colleges Olive-Harvey CDC,10001 S. Woodlawn ,,2916315,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,60628,city colleges olive-harvey cdc,community partnerships,,cps_early_childhood_portal_scrape.csv,,"8-11 hours, varies by facility",,,,,,,,,2916315,10001 s. woodlawn,cp,,,,,,,,pullman,,,,,217
145,0.91374083360036218,218,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals - Gilchrist Marchman,1001 W. Roosevelt Rd ,,4927402,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,mcancel@eastersealschicago.org,60608,easter seals society of metropolitan chicago gilchrist marchman,community partnerships,,chapin_dfss_providers_2011_070212.csv,ms. adrienne hamilton,"8-11 hours, varies by facility",,yes,near west side,,,508147,morayma cancel,,4927402,1001 w roosevelt rd,barbara zawacki,yes,01/31/13,,www.easterseaslchicago.org,easter seals society of metropolitan chicago,,,,yes,,,"4249it(child care it center), 7012ps(hs collaboration with c",2129
855,,219,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association Edgewater/Uptown,1020 W. Bryn Mawr ,,4695626,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,220,CPS_Early_Childhood_Portal_scrape.csv," Montessori Academy and Association, Inc. 2",10232 S. Halsted St. ,,2331100,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.631038,221,CPS_Early_Childhood_Portal_scrape.csv, Archdiocese of Chicago - St. Mary of the Lake,1026 W. Buena Ave. ,,2810018,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,archdiocese of chicago - st. mary of the lake,community partnerships,,cps_early_childhood_portal_scrape.csv,,"8-11 hours, varies by facility",,,,,,,,,2810018,1026 w. buena ave.,,,,,,,,,,,,,,221
147,0.991977,222,CPS_Early_Childhood_Portal_scrape.csv, Small Stride Academy,10317 S. Western ,,2390040,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,60643,small stride academy,community partnerships,,cps_early_childhood_portal_scrape.csv,,"8-11 hours, varies by facility",,,,,,,,,2390040,10317 s. western,cp,,,,,,,,beverly,,,,,222
857,,223,CPS_Early_Childhood_Portal_scrape.csv, Loyola University Chicago,1052 W. Loyola Ave ,,5083440,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0.70516905188560486,224,CPS_Early_Childhood_Portal_scrape.csv, Children?s Developmental Institute MP,10928 S. Halsted St. ,,9950600,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,60628,children's dev inst morgan pk,community partnerships,,ece chicago find a school scrape.csv,,"8-11 hours, varies by facility",,,,,,,,,9950600,10928 s. halsted,cp,,,,,,,,morgan park,,,,,2403
8,0.94271835259028847,225,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities - Cordi-Marian,1100 S. May Street ,,6663787,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,60607,catholic charities of the archdiocese of chicago - cordia marian,child care,,cps_early_childhood_portal_scrape.csv,,extended day,,,,,,,,,6663787,1100 s may st,cp,,,,,,child care,,near west side,,,,,14
858,,226,CPS_Early_Childhood_Portal_scrape.csv," Montessori Academy and Association, Inc. 1",11025 S. Halsted St. ,,4680033,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,,227,CPS_Early_Childhood_Portal_scrape.csv," Kids Count Too Daycare, Preschool and Kindergarten-Kids Count Too Daycare - Englewo",1106-1108 W. 63rd St. ,,4767714,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,,228,CPS_Early_Childhood_Portal_scrape.csv, Thresholds Mothers? Project,1110 W. Belmont ,,,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,,229,CPS_Early_Childhood_Portal_scrape.csv, North Kenwood/Oakland Charter,1119 E. 46th St. ,,5362399,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0.95442115068435673,230,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life Molade CDC,1120 N. Lamon ,,6267760,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,,,60651,bethel new life,child care,,cps_early_childhood_portal_scrape.csv,,half day/full day,,,,,,,,,6267760,1120 n lamon avenue,cp,,,,,,child care,,austin,,,,,17
